date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.flags,tcp.window_size_value,tcp.options.mss_val
Mar 26, 2024 14:34:18.804962000 EDT,192.168.4.143,192.168.4.142,41919,23,0x0012,5840,1460
Mar 26, 2024 14:34:18.805040000 EDT,192.168.4.142,192.168.4.143,23,41919,0x0004,0,
Mar 26, 2024 14:34:18.805076000 EDT,192.168.4.143,192.168.4.142,41919,21,0x0012,5840,1460
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,3306,0x0012,5840,1460
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,135,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,3389,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,1533,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,110,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,554,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,8080,0x0014,0,
Mar 26, 2024 14:34:18.805099000 EDT,192.168.4.142,192.168.4.143,21,41919,0x0004,0,
Mar 26, 2024 14:34:18.805112000 EDT,192.168.4.142,192.168.4.143,3306,41919,0x0004,0,
Mar 26, 2024 14:34:18.805129000 EDT,192.168.4.143,192.168.4.142,41919,15002,0x0014,0,
Mar 26, 2024 14:34:18.806257000 EDT,192.168.4.143,192.168.4.142,41919,1720,0x0014,0,
Mar 26, 2024 14:34:18.806257000 EDT,192.168.4.143,192.168.4.142,41919,445,0x0012,5840,1460
Mar 26, 2024 14:34:18.806258000 EDT,192.168.4.143,192.168.4.142,41919,139,0x0012,5840,1460
Mar 26, 2024 14:34:18.806368000 EDT,192.168.4.142,192.168.4.143,445,41919,0x0004,0,
Mar 26, 2024 14:34:18.806412000 EDT,192.168.4.142,192.168.4.143,139,41919,0x0004,0,
Mar 26, 2024 14:34:18.806565000 EDT,192.168.4.142,192.168.4.143,2222,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806596000 EDT,192.168.4.142,192.168.4.143,1093,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806613000 EDT,192.168.4.142,192.168.4.143,9100,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806634000 EDT,192.168.4.142,192.168.4.143,5988,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806648000 EDT,192.168.4.142,192.168.4.143,33354,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806661000 EDT,192.168.4.142,192.168.4.143,5001,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806683000 EDT,192.168.4.142,192.168.4.143,8654,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806701000 EDT,192.168.4.142,192.168.4.143,55056,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806722000 EDT,192.168.4.142,192.168.4.143,2068,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806736000 EDT,192.168.4.142,192.168.4.143,34571,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806758000 EDT,192.168.4.142,192.168.4.143,5718,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806779000 EDT,192.168.4.142,192.168.4.143,1900,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806801000 EDT,192.168.4.142,192.168.4.143,32783,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806816000 EDT,192.168.4.142,192.168.4.143,2323,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806839000 EDT,192.168.4.142,192.168.4.143,1334,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806853000 EDT,192.168.4.142,192.168.4.143,500,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806875000 EDT,192.168.4.142,192.168.4.143,9500,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806889000 EDT,192.168.4.142,192.168.4.143,6566,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806904000 EDT,192.168.4.142,192.168.4.143,1721,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806925000 EDT,192.168.4.142,192.168.4.143,2013,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806939000 EDT,192.168.4.142,192.168.4.143,30000,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806960000 EDT,192.168.4.142,192.168.4.143,7200,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806974000 EDT,192.168.4.142,192.168.4.143,5060,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.806999000 EDT,192.168.4.142,192.168.4.143,1058,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807012000 EDT,192.168.4.142,192.168.4.143,800,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807032000 EDT,192.168.4.142,192.168.4.143,1080,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807052000 EDT,192.168.4.142,192.168.4.143,1271,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807074000 EDT,192.168.4.142,192.168.4.143,2702,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807088000 EDT,192.168.4.142,192.168.4.143,2910,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807101000 EDT,192.168.4.142,192.168.4.143,2522,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807121000 EDT,192.168.4.142,192.168.4.143,2008,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807135000 EDT,192.168.4.142,192.168.4.143,6510,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807160000 EDT,192.168.4.142,192.168.4.143,8099,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807174000 EDT,192.168.4.142,192.168.4.143,4444,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807194000 EDT,192.168.4.142,192.168.4.143,32780,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807208000 EDT,192.168.4.142,192.168.4.143,1216,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807222000 EDT,192.168.4.142,192.168.4.143,3814,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807243000 EDT,192.168.4.142,192.168.4.143,5859,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807257000 EDT,192.168.4.142,192.168.4.143,1117,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.807280000 EDT,192.168.4.142,192.168.4.143,2103,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.812402000 EDT,192.168.4.143,192.168.4.142,41919,5001,0x0014,0,
Mar 26, 2024 14:34:18.812403000 EDT,192.168.4.143,192.168.4.142,41919,2323,0x0014,0,
Mar 26, 2024 14:34:18.812403000 EDT,192.168.4.143,192.168.4.142,41919,1093,0x0014,0,
Mar 26, 2024 14:34:18.812403000 EDT,192.168.4.143,192.168.4.142,41919,800,0x0014,0,
Mar 26, 2024 14:34:18.812403000 EDT,192.168.4.143,192.168.4.142,41919,1721,0x0014,0,
Mar 26, 2024 14:34:18.812403000 EDT,192.168.4.143,192.168.4.142,41919,1271,0x0014,0,
Mar 26, 2024 14:34:18.812403000 EDT,192.168.4.143,192.168.4.142,41919,500,0x0014,0,
Mar 26, 2024 14:34:18.812403000 EDT,192.168.4.143,192.168.4.142,41919,3814,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,5718,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,1334,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,32783,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,2013,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,9100,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,6566,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,34571,0x0014,0,
Mar 26, 2024 14:34:18.812472000 EDT,192.168.4.143,192.168.4.142,41919,2068,0x0014,0,
Mar 26, 2024 14:34:18.812496000 EDT,192.168.4.143,192.168.4.142,41919,33354,0x0014,0,
Mar 26, 2024 14:34:18.812496000 EDT,192.168.4.143,192.168.4.142,41919,1080,0x0014,0,
Mar 26, 2024 14:34:18.812496000 EDT,192.168.4.143,192.168.4.142,41919,2522,0x0014,0,
Mar 26, 2024 14:34:18.812496000 EDT,192.168.4.143,192.168.4.142,41919,2222,0x0014,0,
Mar 26, 2024 14:34:18.812497000 EDT,192.168.4.143,192.168.4.142,41919,5060,0x0014,0,
Mar 26, 2024 14:34:18.812497000 EDT,192.168.4.143,192.168.4.142,41919,6510,0x0014,0,
Mar 26, 2024 14:34:18.812497000 EDT,192.168.4.143,192.168.4.142,41919,4444,0x0014,0,
Mar 26, 2024 14:34:18.812497000 EDT,192.168.4.143,192.168.4.142,41919,5859,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,5988,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,1058,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,30000,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,2910,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,2008,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,8099,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,1900,0x0014,0,
Mar 26, 2024 14:34:18.812519000 EDT,192.168.4.143,192.168.4.142,41919,2702,0x0014,0,
Mar 26, 2024 14:34:18.812559000 EDT,192.168.4.143,192.168.4.142,41919,1117,0x0014,0,
Mar 26, 2024 14:34:18.812559000 EDT,192.168.4.143,192.168.4.142,41919,2103,0x0014,0,
Mar 26, 2024 14:34:18.812560000 EDT,192.168.4.143,192.168.4.142,41919,1216,0x0014,0,
Mar 26, 2024 14:34:18.813915000 EDT,192.168.4.143,192.168.4.142,41919,55056,0x0014,0,
Mar 26, 2024 14:34:18.813916000 EDT,192.168.4.143,192.168.4.142,41919,7200,0x0014,0,
Mar 26, 2024 14:34:18.813916000 EDT,192.168.4.143,192.168.4.142,41919,9500,0x0014,0,
Mar 26, 2024 14:34:18.813916000 EDT,192.168.4.143,192.168.4.142,41919,32780,0x0014,0,
Mar 26, 2024 14:34:18.813916000 EDT,192.168.4.143,192.168.4.142,41919,8654,0x0014,0,
Mar 26, 2024 14:34:18.814074000 EDT,192.168.4.142,192.168.4.143,1069,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814117000 EDT,192.168.4.142,192.168.4.143,44443,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814133000 EDT,192.168.4.142,192.168.4.143,7676,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.814147000 EDT,192.168.4.142,192.168.4.143,50001,41919,0x0002,1024,1460
