ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.140,192.168.4.137,6200,37773,502,0x0018
192.168.4.137,192.168.4.140,37773,6200,181,0x0018
192.168.4.140,192.168.4.137,6200,37773,502,0x0010
192.168.4.140,192.168.4.137,6200,37773,502,0x0018
192.168.4.137,192.168.4.140,37773,6200,181,0x0018
192.168.4.140,192.168.4.137,6200,37773,502,0x0010
