date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.unknown.payload
Mar 10, 2024 17:01:51.726099000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x1a12
Mar 10, 2024 17:01:51.726112000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xc342
Mar 10, 2024 17:01:51.726125000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x8ffa
Mar 10, 2024 17:01:51.726137000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x28ea
Mar 10, 2024 17:01:51.726150000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x6444
Mar 10, 2024 17:01:51.726163000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.726175000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xf97e
Mar 10, 2024 17:01:51.726251000 EDT,34.120.158.37,192.168.4.137,443,37414,8701,0x0010,0x8611
Mar 10, 2024 17:01:51.726516000 EDT,34.120.158.37,192.168.4.137,443,37414,8701,0x0010,0x8609
Mar 10, 2024 17:01:51.726605000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xd9e1
Mar 10, 2024 17:01:51.726618000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xb22e
Mar 10, 2024 17:01:51.726709000 EDT,34.120.158.37,192.168.4.137,443,37414,8215,0x0010,0x8611
Mar 10, 2024 17:01:51.726787000 EDT,34.120.158.37,192.168.4.137,443,37414,8215,0x0010,0x8611
Mar 10, 2024 17:01:51.733013000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x74b6
Mar 10, 2024 17:01:51.733026000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.733081000 EDT,34.120.158.37,192.168.4.137,443,37414,8624,0x0010,0x8611
Mar 10, 2024 17:01:51.734406000 EDT,34.120.158.37,192.168.4.137,443,37414,8624,0x0010,0x8611
Mar 10, 2024 17:01:51.760701000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x68da
Mar 10, 2024 17:01:51.760714000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.760826000 EDT,34.120.158.37,192.168.4.137,443,37414,8604,0x0010,0x8609
Mar 10, 2024 17:01:51.761003000 EDT,34.120.158.37,192.168.4.137,443,37414,8604,0x0010,0x8609
Mar 10, 2024 17:01:51.762619000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.762670000 EDT,34.120.158.37,192.168.4.137,443,37414,8786,0x0010,0x8609
Mar 10, 2024 17:01:51.765041000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x8cf5
Mar 10, 2024 17:01:51.765108000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8609
Mar 10, 2024 17:01:51.766902000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.766956000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.769482000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.769525000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.771215000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.772535000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.775218000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.776516000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.777663000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.778951000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.781154000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.782465000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.785102000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xd378
Mar 10, 2024 17:01:51.786375000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.796028000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xd877
Mar 10, 2024 17:01:51.796041000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.796509000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.797312000 EDT,34.120.158.37,192.168.4.137,443,37414,8777,0x0010,0x8601
Mar 10, 2024 17:01:51.806101000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x272c
Mar 10, 2024 17:01:51.806114000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x6192
Mar 10, 2024 17:01:51.806126000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xef8e
Mar 10, 2024 17:01:51.806139000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x7108
Mar 10, 2024 17:01:51.806289000 EDT,34.120.158.37,192.168.4.137,443,37414,8635,0x0010,0x85f5
Mar 10, 2024 17:01:51.806459000 EDT,34.120.158.37,192.168.4.137,443,37414,8625,0x0010,0x8601
Mar 10, 2024 17:01:51.808207000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x9817
Mar 10, 2024 17:01:51.808240000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8601
Mar 10, 2024 17:01:51.812259000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.812306000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.814490000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.815763000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.818345000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.819581000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.828525000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xd953
Mar 10, 2024 17:01:51.828539000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xde5c
Mar 10, 2024 17:01:51.828759000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0xb4bd
Mar 10, 2024 17:01:51.829855000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.830028000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.833602000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x1010
Mar 10, 2024 17:01:51.834883000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.837008000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x6ad9
Mar 10, 2024 17:01:51.838256000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.849448000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x1f05
Mar 10, 2024 17:01:51.850832000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8601
Mar 10, 2024 17:01:51.851008000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.852310000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.854627000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xef40
Mar 10, 2024 17:01:51.854817000 EDT,192.168.4.137,34.149.100.209,49070,443,298,0x0018,0x3395
Mar 10, 2024 17:01:51.854906000 EDT,34.149.100.209,192.168.4.137,443,49070,892,0x0010,0x4cbe
Mar 10, 2024 17:01:51.855651000 EDT,34.149.100.209,192.168.4.137,443,49070,892,0x0018,0x4cec
Mar 10, 2024 17:01:51.856031000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.856206000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.857662000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.859845000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.861181000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.864686000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.865935000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.877418000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x4f9d
Mar 10, 2024 17:01:51.877432000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x81bb
Mar 10, 2024 17:01:51.877514000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x46c1
Mar 10, 2024 17:01:51.878826000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8611
Mar 10, 2024 17:01:51.890142000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x019c
Mar 10, 2024 17:01:51.890155000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.891374000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8609
Mar 10, 2024 17:01:51.893504000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x3464
Mar 10, 2024 17:01:51.894723000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8611
Mar 10, 2024 17:01:51.896350000 EDT,192.168.4.137,34.149.100.209,49070,443,298,0x0010,0xcb86
Mar 10, 2024 17:01:51.896440000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x442d
Mar 10, 2024 17:01:51.897536000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.897705000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8611
Mar 10, 2024 17:01:51.902015000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.903251000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8611
Mar 10, 2024 17:01:51.905270000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.906569000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8611
Mar 10, 2024 17:01:51.918258000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x599c
Mar 10, 2024 17:01:51.918272000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.918285000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x7867
Mar 10, 2024 17:01:51.919550000 EDT,34.120.158.37,192.168.4.137,443,37414,8832,0x0010,0x8611
Mar 10, 2024 17:01:51.923869000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x12e6
