date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.unknown.payload
Mar 10, 2024 17:01:51.210173000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.211444000 EDT,34.120.158.37,192.168.4.137,443,37414,8672,0x0010,0x8609
Mar 10, 2024 17:01:51.211906000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x9e62
Mar 10, 2024 17:01:51.213261000 EDT,34.120.158.37,192.168.4.137,443,37414,8672,0x0010,0x8609
Mar 10, 2024 17:01:51.213547000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0xdf06
Mar 10, 2024 17:01:51.213620000 EDT,34.120.158.37,192.168.4.137,443,37414,8656,0x0010,0x8601
Mar 10, 2024 17:01:51.215873000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0010,0x0af0
Mar 10, 2024 17:01:51.215924000 EDT,34.120.158.37,192.168.4.137,443,37414,8656,0x0010,0x8601
Mar 10, 2024 17:01:51.226035000 EDT,192.168.4.137,34.120.158.37,37414,443,272,0x0018,0x90e5
Mar 10, 2024 17:01:51.226086000 EDT,34.120.158.37,192.168.4.137,443,37414,8787,0x0010,0x8601
