date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 15:23:58.264890504 EST,192.168.4.133,20.88.154.174,39640,443,0,0x0004
Mar  8, 2024 15:23:58.271581722 EST,192.168.4.133,20.88.154.174,39640,443,0,0x0004
Mar  8, 2024 15:23:58.271582106 EST,192.168.4.133,20.88.154.174,39640,443,0,0x0004
Mar  8, 2024 15:23:58.277028436 EST,192.168.4.133,104.18.41.158,51290,443,8,0x0010
Mar  8, 2024 15:23:58.290424533 EST,13.225.195.60,192.168.4.133,443,34928,31808,0x0002
Mar  8, 2024 15:23:58.333718649 EST,192.168.4.133,13.225.195.60,34928,443,65535,0x0012
Mar  8, 2024 15:23:58.333765714 EST,13.225.195.60,192.168.4.133,443,34928,249,0x0010
Mar  8, 2024 15:23:58.336355093 EST,13.225.195.60,192.168.4.133,443,34928,249,0x0018
Mar  8, 2024 15:23:58.338729745 EST,20.88.154.174,192.168.4.133,443,35446,31808,0x0002
Mar  8, 2024 15:23:58.373641933 EST,192.168.4.133,13.225.195.60,34928,443,131,0x0010
Mar  8, 2024 15:23:58.375354892 EST,192.168.4.133,13.225.195.60,34928,443,131,0x0018
Mar  8, 2024 15:23:58.375401967 EST,13.225.195.60,192.168.4.133,443,34928,248,0x0010
Mar  8, 2024 15:23:58.376921256 EST,13.225.195.60,192.168.4.133,443,34928,248,0x0018
Mar  8, 2024 15:23:58.377347027 EST,13.225.195.60,192.168.4.133,443,34928,248,0x0018
Mar  8, 2024 15:23:58.389805979 EST,192.168.4.133,20.88.154.174,35446,443,65160,0x0012
Mar  8, 2024 15:23:58.389853121 EST,20.88.154.174,192.168.4.133,443,35446,249,0x0010
Mar  8, 2024 15:23:58.392846169 EST,20.88.154.174,192.168.4.133,443,35446,249,0x0018
Mar  8, 2024 15:23:58.409064277 EST,192.168.4.133,13.225.195.60,34928,443,133,0x0010
Mar  8, 2024 15:23:58.409064612 EST,192.168.4.133,13.225.195.60,34928,443,133,0x0018
Mar  8, 2024 15:23:58.409064705 EST,192.168.4.133,13.225.195.60,34928,443,133,0x0018
Mar  8, 2024 15:23:58.409801906 EST,13.225.195.60,192.168.4.133,443,34928,247,0x0010
Mar  8, 2024 15:23:58.409908378 EST,13.225.195.60,192.168.4.133,443,34928,247,0x0018
Mar  8, 2024 15:23:58.445658117 EST,192.168.4.133,20.88.154.174,35446,443,506,0x0010
Mar  8, 2024 15:23:58.445658349 EST,192.168.4.133,20.88.154.174,35446,443,506,0x0010
Mar  8, 2024 15:23:58.445699164 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0010
Mar  8, 2024 15:23:58.447017950 EST,192.168.4.133,20.88.154.174,35446,443,506,0x0018
Mar  8, 2024 15:23:58.447018088 EST,192.168.4.133,20.88.154.174,35446,443,506,0x0018
Mar  8, 2024 15:23:58.447018148 EST,192.168.4.133,20.88.154.174,35446,443,506,0x0018
Mar  8, 2024 15:23:58.447047909 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0010
Mar  8, 2024 15:23:58.447081003 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0010
Mar  8, 2024 15:23:58.447099285 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0010
Mar  8, 2024 15:23:58.449061526 EST,192.168.4.133,20.88.154.174,35446,443,506,0x0010
Mar  8, 2024 15:23:58.453710465 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0018
Mar  8, 2024 15:23:58.454117733 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0018
Mar  8, 2024 15:23:58.489183059 EST,192.168.4.133,13.225.195.60,34928,443,133,0x0010
Mar  8, 2024 15:23:58.501692093 EST,172.64.150.28,192.168.4.133,443,34188,31808,0x0002
Mar  8, 2024 15:23:58.504222112 EST,192.168.4.133,20.88.154.174,35446,443,505,0x0018
Mar  8, 2024 15:23:58.504222378 EST,192.168.4.133,20.88.154.174,35446,443,505,0x0018
Mar  8, 2024 15:23:58.504222472 EST,192.168.4.133,20.88.154.174,35446,443,505,0x0018
Mar  8, 2024 15:23:58.504222547 EST,192.168.4.133,20.88.154.174,35446,443,505,0x0010
Mar  8, 2024 15:23:58.505275347 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0010
Mar  8, 2024 15:23:58.505364219 EST,20.88.154.174,192.168.4.133,443,35446,243,0x0018
